headline,body,url,Clickbait,Political Affiliation,Sensationalism,Sentiment Analysis,Source Reputation,Headline-Body-Relation
"War Powers Resolution: Trump, Congress, Venezuela","[ARTICLE BODY NEEDED - Please add the full article text from https://www.politifact.com/article/2026/jan/09/war-powers-resolution-trump-congress-venezuela/]","https://www.politifact.com/article/2026/jan/09/war-powers-resolution-trump-congress-venezuela/",20,Neutral,20,Neutral,90,90
"Renee Good Noem domestic terrorism Minneapolis","[ARTICLE BODY NEEDED - Please add the full article text from https://www.politifact.com/article/2026/jan/08/Renee-Good-Noem-domestic-terrorism-Minneapolis/]","https://www.politifact.com/article/2026/jan/08/Renee-Good-Noem-domestic-terrorism-Minneapolis/",25,Neutral,30,Neutral,90,90
"FBI raid Washington Post reporter Trump administration intimidation","[ARTICLE BODY NEEDED - Please add the full article text from https://www.ms.now/the-briefing-with-jen-psaki/fbi-raid-washington-post-reporter-trump-administration-intimidation-silence-critics]","https://www.ms.now/the-briefing-with-jen-psaki/fbi-raid-washington-post-reporter-trump-administration-intimidation-silence-critics",50,Democratic,70,Negative,40,50
"ICE agents oversight lawsuits","[ARTICLE BODY NEEDED - Please add the full article text from https://www.ms.now/news/ice-agents-oversight-lawsuits]","https://www.ms.now/news/ice-agents-oversight-lawsuits",25,Democratic,50,Negative,50,90
"Trump warns US can no longer think purely peace Greenland control","[ARTICLE BODY NEEDED - Please add the full article text from https://www.foxnews.com/politics/trump-warns-us-can-no-longer-think-purely-peace-he-pushes-greenland-control]","https://www.foxnews.com/politics/trump-warns-us-can-no-longer-think-purely-peace-he-pushes-greenland-control",60,Republican,50,Positive,50,80
"Nobel Peace Prize Trump Machado","[ARTICLE BODY NEEDED - Please add the full article text from https://edition.cnn.com/2026/01/16/politics/nobel-peace-prize-trump-machado]","https://edition.cnn.com/2026/01/16/politics/nobel-peace-prize-trump-machado",30,Democratic,30,Neutral,70,90
"Fact check Trump GOP speech","[ARTICLE BODY NEEDED - Please add the full article text from https://www.cnn.com/2026/01/06/politics/fact-check-trump-gop-speech]","https://www.cnn.com/2026/01/06/politics/fact-check-trump-gop-speech",30,Neutral,20,Neutral,70,95
"Trump 2020 election Nevada","[ARTICLE BODY NEEDED - Please add the full article text from https://www.newsmax.com/politics/trump-2020-election-nevada/2026/01/20/id/1242825/]","https://www.newsmax.com/politics/trump-2020-election-nevada/2026/01/20/id/1242825/",70,Republican,80,Negative,30,80
"Claudia Tenney ICE protests","[ARTICLE BODY NEEDED - Please add the full article text from https://www.newsmax.com/newsmax-tv/claudia-tenney-ice-protests/2026/01/20/id/1242798/]","https://www.newsmax.com/newsmax-tv/claudia-tenney-ice-protests/2026/01/20/id/1242798/",70,Republican,80,Negative,25,70
"Jeanie Buss has completely turned on outsized ego LeBron James","[ARTICLE BODY NEEDED - Please add the full article text from https://nypost.com/2026/01/21/sports/jeanie-buss-has-completely-turned-on-outsized-ego-lebron-james/]","https://nypost.com/2026/01/21/sports/jeanie-buss-has-completely-turned-on-outsized-ego-lebron-james/",95,Neutral,90,Negative,30,50
"Letitia James makes it quite clear there are no limits to denouncing or harassing Jews in New York","[ARTICLE BODY NEEDED - Please add the full article text from https://nypost.com/2026/01/20/opinion/letitia-james-makes-it-quite-clear-there-are-no-limits-to-denouncing-or-harassing-jews-in-new-york/]","https://nypost.com/2026/01/20/opinion/letitia-james-makes-it-quite-clear-there-are-no-limits-to-denouncing-or-harassing-jews-in-new-york/",95,Republican,90,Negative,25,25
"An unhappy anniversary: Trump's year in office","[ARTICLE BODY NEEDED - Please add the full article text from https://www.newyorker.com/news/the-lede/an-unhappy-anniversary-trumps-year-in-office]","https://www.newyorker.com/news/the-lede/an-unhappy-anniversary-trumps-year-in-office",25,Democratic,25,Negative,70,90
"ICE arrests warrants Minneapolis","[ARTICLE BODY NEEDED - Please add the full article text from https://apnews.com/article/ice-arrests-warrants-minneapolis-trump-00d0ab0338e82341fd91b160758aeb2d]","https://apnews.com/article/ice-arrests-warrants-minneapolis-trump-00d0ab0338e82341fd91b160758aeb2d",0,Neutral,0,Neutral,90,95
